184.168.221.18#6#2#Spamming#US#Scottsdale#33.6119003296,-111.890602112#12
94.46.46.53#6#3#Spamming#US##38.0,-97.0#12
216.246.1.70#6#4#Spamming#US#Chicago#41.8499984741,-87.6500015259#12
119.59.120.5#9#3#Spamming#TH##13.75,100.466697693#12
45.58.134.202#6#3#Spamming#US#Las Vegas#36.0768013,-115.089103699#12
23.254.32.37#6#2#Spamming#US#Buffalo#42.8884010315,-78.8760986328#12
72.9.145.203#6#4#Spamming#US#Dallas#32.8148002625,-96.8704986572#12
86.105.1.14#9#2#Spamming#IT#Milan#45.4667015076,9.19999980927#12
69.94.148.39#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
94.228.213.51#6#3#Spamming#NL##52.3666992188,4.90000009537#12
217.23.5.205#9#3#Spamming#NL##52.3666992188,4.90000009537#12
185.72.178.215#6#4#Spamming#RO##46.0,25.0#12
217.23.13.59#6#3#Spamming#NL##52.3666992188,4.90000009537#12
216.246.1.69#9#4#Spamming#US#Chicago#41.8499984741,-87.6500015259#12
217.23.5.195#6#3#Spamming#NL##52.3666992188,4.90000009537#12
196.40.100.149#9#3#Spamming#ZA##-29.0,24.0#12
196.40.100.145#9#3#Spamming#ZA##-29.0,24.0#12
93.127.228.90#6#3#Spamming#DE#Frankfurt Am Main#50.1166992188,8.68330001831#12
23.94.146.210#6#4#Spamming#US#Buffalo#42.9864006042,-78.727897644#12
199.180.118.148#6#5#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
162.247.78.185#6#3#Spamming#US##38.0,-97.0#12
69.94.148.44#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
23.94.146.209#6#4#Spamming#US#Buffalo#42.9864006042,-78.727897644#12
66.199.241.101#6#3#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
69.94.148.27#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
23.247.12.41#6#3#Spamming#US#Walnut#34.0115013123,-117.853500366#12
199.180.118.151#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
72.9.107.67#6#4#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
94.228.213.52#6#3#Spamming#NL##52.3666992188,4.90000009537#12
72.9.107.69#6#3#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
69.94.148.37#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
104.31.69.10#6#2#Spamming#US#San Francisco#37.7696990967,-122.393302917#12
69.94.148.45#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
82.211.35.87#6#4#Spamming#DE##51.0,9.0#12
66.199.242.94#6#3#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
69.94.148.36#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
69.94.148.51#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
89.163.155.39#6#4#Spamming#DE##51.0,9.0#12
23.247.12.34#6#3#Spamming#US#Walnut#34.0115013123,-117.853500366#12
69.94.148.23#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
67.222.135.238#6#4#Spamming#US#Dallas#32.8148002625,-96.8704986572#12
69.94.148.49#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
69.94.148.26#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
69.94.148.43#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
199.180.118.135#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
69.94.148.34#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
66.199.234.54#6#3#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
104.148.31.72#9#4#Spamming#US#Walnut#34.0115013123,-117.853500366#12
72.9.107.68#6#4#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
162.144.131.160#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
69.65.45.28#6#3#Spamming#US#Arlington Heights#42.0643005371,-87.9921035767#12
162.247.78.18#9#4#Spamming#US##38.0,-97.0#12
185.121.164.13#6#3#Spamming#NL##52.3666992188,4.90000009537#12
45.58.134.198#6#4#Spamming#US#Las Vegas#36.0768013,-115.089103699#12
217.75.150.44#6#3#Spamming#BG##42.7000007629,23.3332996368#12
23.247.12.43#6#3#Spamming#US#Walnut#34.0115013123,-117.853500366#12
69.94.148.31#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
45.58.134.205#6#3#Spamming#US#Las Vegas#36.0768013,-115.089103699#12
104.31.68.10#6#2#Spamming#US#San Francisco#37.7696990967,-122.393302917#12
23.94.146.217#9#4#Spamming#US#Buffalo#42.9864006042,-78.727897644#12
216.246.29.225#9#4#Spamming#US#Chicago#42.007598877,-87.695602417#12
45.58.134.201#6#3#Spamming#US#Las Vegas#36.0768013,-115.089103699#12
107.150.148.23#6#2#Spamming#US##38.0,-97.0#12
69.94.148.29#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
184.168.221.32#6#2#Spamming#US#Scottsdale#33.6119003296,-111.890602112#12
196.40.100.154#6#3#Spamming#ZA##-29.0,24.0#12
162.144.131.175#9#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
188.225.32.44#4#2#Spamming#RU##55.75,37.6166000366#12
104.148.31.73#6#4#Spamming#US#Walnut#34.0115013123,-117.853500366#12
196.40.100.151#9#3#Spamming#ZA##-29.0,24.0#12
63.143.42.245#6#3#Spamming#US#Dallas#32.7790985107,-96.8028030396#12
191.7.110.213#9#3#Spamming#BR##-23.547700882,-46.635799408#12
196.40.100.146#6#3#Spamming#ZA##-29.0,24.0#12
69.162.85.6#6#2#Spamming#US#Dallas#32.7790985107,-96.8028030396#12
217.75.151.54#6#2#Spamming#BG##42.7000007629,23.3332996368#12
162.144.104.78#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
162.247.78.1#6#3#Spamming#US##38.0,-97.0#12
104.24.120.42#6#2#Spamming#US#San Francisco#37.7696990967,-122.393302917#12
162.247.77.83#9#3#Spamming#US##38.0,-97.0#12
69.94.148.25#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
93.127.245.2#8#3#Spamming#DE#Frankfurt Am Main#50.1166992188,8.68330001831#12
221.229.162.7#3#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
116.107.221.46#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
117.145.177.164#3#2#Scanning Host#CN##35.0,105.0#11
58.187.135.98#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
116.110.124.106#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
114.107.30.217#3#2#Scanning Host#CN#Hefei#31.863899231,117.280799866#11
14.189.199.240#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
51.254.240.137#6#2#Spamming#FR##48.8600006104,2.34999990463#12
40.78.146.15#4#2#Malicious Host#US#Seattle#47.6062011719,-122.332099915#3
123.206.28.125#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
125.124.238.209#4#2#Malicious Host#CN#Jiaxing#30.752199173,120.75#3
141.212.122.33#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.37#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.161#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
174.36.230.171#4#2#Malicious Host#US#Chantilly#38.8942985535,-77.431098938#3
141.212.122.166#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
173.208.235.210#4#2#Malicious Host#US#Kansas City#39.1068000793,-94.5660018921#3
141.212.122.39#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.36#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.163#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.40#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.172#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
173.208.176.162#4#2#Malicious Host#US#Kansas City#39.1068000793,-94.5660018921#3
141.212.122.62#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.41#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
119.255.5.99#4#2#Malicious Host#CN#Langfang#39.5097007751,116.694702148#3
141.212.122.53#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
109.72.215.18#4#2#Malicious Host#GB##51.5,-0.129999995232#3
103.40.163.162#4#2#Malicious Host#HK##22.25,114.166702271#3
103.230.120.202#4#3#Malicious Host#HK#Sai Ying Pun#22.2833003998,114.133300781#3
111.69.68.58#1#4#Malicious Host#NZ#Auckland#-36.9124984741,174.733505249#3
89.197.25.94#4#3#Malicious Host#GB#London#51.5141983032,-0.0930999964476#3
108.59.11.2#4#2#Malicious Host#US##39.6734008789,-75.7052001953#3
91.189.59.156#4#2#Malicious Host#PL#Warsaw#52.25,21.0#3
81.83.25.38#4#2#Malicious Host#BE#Antwerp#51.2167015076,4.41669988632#3
101.200.230.58#4#2#Malicious Host#CN#Hangzhou#30.2936000824,120.161399841#3
101.77.199.9#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
202.118.19.31#4#2#Malicious Host#CN#Shenyang#41.7921981812,123.432800293#3
192.225.230.126#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
85.25.84.102#4#2#Malicious Host#DE##51.0,9.0#3
64.16.211.200#4#3#Malicious Host#US#Tampa#27.8866996765,-82.5117034912#3
222.186.190.81#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
160.153.16.59#6#2#Spamming#US#Scottsdale#33.6119003296,-111.890602112#12
171.251.40.43#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
77.40.116.93#3#2#Scanning Host#RU#Yoshkar-ola#56.6388015747,47.8908004761#11
117.1.96.182#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
125.212.232.238#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
121.254.254.57#3#2#Scanning Host#KR##37.5699996948,126.980003357#11
155.94.224.186#3#2#Scanning Host#US#Los Angeles#34.043800354,-118.251197815#11
187.72.5.73#3#2#Scanning Host#BR##-23.547700882,-46.635799408#11
79.71.81.207#3#2#Scanning Host#GB##51.5,-0.129999995232#11
185.106.92.53#3#2#Scanning Host#RU##55.75,37.6166000366#11
171.234.230.154#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
61.219.69.164#3#2#Scanning Host#TW##23.5,121.0#11
112.64.161.133#3#2#Scanning Host#CN#Shanghai#31.0456008911,121.39969635#11
159.203.76.169#3#2#Scanning Host#US#New York#40.7490005493,-73.9865036011#11
159.253.153.210#3#2#Scanning Host#NL#Amsterdam#52.3499984741,4.91669988632#11
45.34.79.110#4#2#Malicious Host#US#Walnut#34.0115013123,-117.853500366#3
80.82.78.38#4#2#Malicious Host#NL##52.3666992188,4.90000009537#3
118.123.22.140#4#3#Malicious Host#CN#Chengdu#30.6667003632,104.066703796#3
52.68.245.171#4#2#Malicious Host#JP#Tokyo#35.6850013733,139.751403809#3
91.224.160.75#4#2#Malicious Host#NL##52.3666992188,4.90000009537#3
59.175.137.36#1#3#Malicious Host#CN#Wuhan#30.5800991058,114.273399353#3
141.212.122.58#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
85.25.217.46#4#2#Malicious Host#DE##51.0,9.0#3
141.212.122.57#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.56#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.55#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.54#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.38#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
137.59.52.157#4#2#Malicious Host#IN##20.0,77.0#3
80.83.249.176#4#2#Malicious Host#RU#Yekaterinburg#56.8518981934,60.6122016907#3
209.37.102.44#4#2#Malicious Host#US#San Jose#37.3120002747,-121.966003418#3
158.69.155.96#4#2#Malicious Host#US#Pasadena#33.7865982056,-118.298698425#3
162.210.198.79#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
222.186.31.206#4#3#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
188.138.33.79#4#2#Malicious Host#DE##51.0,9.0#3
142.0.41.209#4#2#Malicious Host#US#Clarks Summit#41.448600769,-75.7279968262#3
180.97.215.139#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
198.54.112.183#4#2#Malicious Host#US#Austin#30.2700004578,-97.8662033081#3
202.102.251.187#4#2#Malicious Host#CN#Zhengzhou#34.6836013794,113.532501221#3
192.154.198.19#4#2#Malicious Host#US#Phoenix#33.4319000244,-112.01499939#3
221.229.166.242#4#4#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
220.210.131.58#4#3#Malicious Host#JP##35.6899986267,139.690002441#3
222.186.55.242#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
217.172.189.11#4#2#Malicious Host#DE##51.0,9.0#3
212.83.144.173#4#2#Malicious Host#FR##48.8600006104,2.34999990463#3
141.8.224.93#6#2#Spamming#CH##47.0,8.0#12
158.85.169.230#3#2#Scanning Host#US#Dallas#32.929901123,-96.8352966309#11
24.133.219.203#4#3#Malicious Host#TR##41.0135993958,28.9549999237#3
89.46.103.156#6#3#Spamming#RO#Fabrica#47.2000007629,23.3999996185#12
23.94.146.203#6#4#Spamming#US#Buffalo#42.9864006042,-78.727897644#12
69.94.148.20#6#3#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
72.9.145.205#9#5#Spamming#US#Dallas#32.8148002625,-96.8704986572#12
162.144.131.164#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
185.72.178.101#6#4#Spamming#RO##46.0,25.0#12
23.247.12.36#6#2#Spamming#US#Walnut#34.0115013123,-117.853500366#12
23.247.12.38#6#2#Spamming#US#Walnut#34.0115013123,-117.853500366#12
162.247.78.184#9#4#Spamming#US##38.0,-97.0#12
93.127.245.124#6#3#Spamming#DE#Frankfurt Am Main#50.1166992188,8.68330001831#12
69.94.148.21#6#2#Spamming#US#Sacramento#38.5573997498,-121.320999146#12
69.162.85.4#6#2#Spamming#US#Dallas#32.7790985107,-96.8028030396#12
69.175.9.34#6#2#Spamming#US#Chicago#41.8824996948,-87.6440963745#12
23.247.12.44#6#2#Spamming#US#Walnut#34.0115013123,-117.853500366#12
162.144.104.4#6#2#Spamming#US#Provo#40.2181015015,-111.613296509#12
41.242.136.81#4#3#Malicious Host#GH#Accra#5.55000019073,-0.216700002551#3
217.112.92.36#3#2#Scanning Host#GB##51.5,-0.129999995232#11
59.151.34.94#3#2#Scanning Host#CN#Beijing#39.9289016724,116.388298035#11
13.92.121.169#3#2#Scanning Host#US#Washington#38.8950996399,-77.0363998413#11
13.68.26.84#3#2#Scanning Host#US#Washington#38.8950996399,-77.0363998413#11
116.107.196.204#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
195.154.42.98#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
178.238.80.43#3#2#Scanning Host#GB##51.5,-0.129999995232#11
116.111.123.182#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
13.92.232.153#4#2#Malicious Host#US#Washington#38.8950996399,-77.0363998413#3
59.174.110.133#1#3#Malicious Host#CN#Wuhan#30.5800991058,114.273399353#3
204.44.65.211#4#3#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
162.213.152.60#4#3#Malicious Host#US#Miami#25.8337993622,-80.3016967773#3
118.244.151.79#4#3#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
75.151.16.161#4#2#Malicious Host#US#Clarkston#42.7359008789,-83.418800354#3
113.240.250.155#4#3#Malicious Host#CN#Changsha#28.1791992188,113.113601685#3
123.249.3.34#4#2#Malicious Host#CN#Shenzhen#22.5333003998,114.133300781#3
124.173.115.36#4#2#Malicious Host#CN#Guangzhou#23.1166992188,113.25#3
222.189.228.225#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
136.169.122.32#4#2#Malicious Host#LV##57.0,25.0#3
219.246.36.145#4#2#Malicious Host#CN#Lanzhou#36.0564002991,103.792198181#3
61.239.29.195#4#3#Malicious Host#HK#Central District#22.2833003998,114.150001526#3
185.103.252.85#4#2#Malicious Host#RU##55.75,37.6166000366#3
198.55.103.19#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
141.212.122.48#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
162.244.24.248#4#2#Malicious Host#CA#Kitchener#43.4105987549,-80.5010986328#3
173.254.204.206#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
180.43.40.178#4#2#Malicious Host#JP##35.6899986267,139.690002441#3
188.138.17.205#4#3#Malicious Host#FR#Strasbourg#48.6003990173,7.78739976883#3
82.165.156.29#4#3#Malicious Host#DE##51.0,9.0#3
104.160.167.71#4#2#Malicious Host#US#Los Angeles#34.0530014038,-118.264198303#3
198.144.158.65#4#2#Malicious Host#CA#North York#43.7797012329,-79.4156036377#3
78.20.240.37#4#2#Malicious Host#BE##50.8499984741,4.34999990463#3
106.168.233.26#4#2#Malicious Host#JP##35.6899986267,139.690002441#3
31.220.3.180#4#2#Malicious Host;Scanning Host#BZ##17.25,-88.75#3;11
222.186.21.226#3#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
115.29.47.164#3#2#Scanning Host#CN#Hangzhou#30.2936000824,120.161399841#11
43.252.241.143#3#2#Scanning Host#IN##20.0,77.0#11
125.212.232.110#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
14.172.3.137#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
65.17.219.132#6#2#Spamming#US#Jersey City#40.7209014893,-74.0467987061#12
81.19.209.205#6#3#Spamming#GB##51.5,-0.129999995232#12
81.19.209.217#6#4#Spamming#GB##51.5,-0.129999995232#12
94.228.213.117#9#3#Spamming#NL##52.3666992188,4.90000009537#12
217.23.5.139#6#3#Spamming#NL##52.3666992188,4.90000009537#12
81.19.209.215#6#3#Spamming#GB##51.5,-0.129999995232#12
199.180.118.139#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
46.249.49.4#6#2#Spamming#NL##52.3666992188,4.90000009537#12
146.0.36.120#6#3#Spamming#DE##51.0,9.0#12
162.144.104.85#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
217.23.5.152#6#3#Spamming#NL##52.3666992188,4.90000009537#12
94.228.213.118#6#3#Spamming#NL##52.3666992188,4.90000009537#12
23.228.71.76#9#3#Spamming#US#Walnut#34.0115013123,-117.853500366#12
217.23.13.48#6#3#Spamming#NL##52.3666992188,4.90000009537#12
81.19.209.204#6#3#Spamming#GB##51.5,-0.129999995232#12
23.228.71.77#6#4#Spamming#US#Walnut#34.0115013123,-117.853500366#12
199.180.118.153#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
199.180.118.138#6#5#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
217.23.13.42#6#3#Spamming#NL##52.3666992188,4.90000009537#12
185.63.252.79#9#3#Spamming#NL##52.3666992188,4.90000009537#12
190.105.224.230#6#3#Spamming###52.3666992188,4.90000009537#12
217.23.5.149#6#3#Spamming#NL##52.3666992188,4.90000009537#12
63.143.42.247#6#4#Spamming#US#Dallas#32.7790985107,-96.8028030396#12
23.92.83.73#6#2#Spamming#US##38.0,-97.0#12
162.144.71.18#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
217.23.13.49#6#3#Spamming#NL##52.3666992188,4.90000009537#12
162.144.131.182#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
93.127.228.36#6#3#Spamming#DE#Frankfurt Am Main#50.1166992188,8.68330001831#12
190.105.224.223#9#3#Spamming###50.1166992188,8.68330001831#12
63.223.79.223#6#3#Spamming#US#Kenmore#47.7541999817,-122.244400024#12
199.180.118.136#6#4#Spamming#US#Clarks Summit#41.448600769,-75.7279968262#12
66.199.242.90#6#3#Spamming#US#Brooklyn#40.6570014954,-74.0080032349#12
162.144.98.9#6#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
46.30.40.97#6#2#Spamming#RU##55.75,37.6166000366#12
162.144.131.183#9#3#Spamming#US#Provo#40.2181015015,-111.613296509#12
63.143.42.246#9#3#Spamming#US#Dallas#32.7790985107,-96.8028030396#12
62.141.32.149#6#3#Spamming#DE##51.0,9.0#12
190.105.224.222#6#3#Spamming###51.0,9.0#12
5.104.107.124#6#4#Spamming#DE##51.0,9.0#12
182.243.87.171#3#2#Scanning Host#CN#Kunming#25.0389003754,102.718299866#11
125.212.232.13#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
83.212.127.12#3#2#Scanning Host#GR#Athens#37.9832992554,23.7332992554#11
212.129.48.209#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
37.58.113.234#3#2#Scanning Host#NL#Amsterdam#52.3499984741,4.91669988632#11
201.22.148.197#3#2#Scanning Host###52.3499984741,4.91669988632#11
124.120.81.248#3#2#Scanning Host#TH#Bangkok#13.7539997101,100.501403809#11
175.201.19.67#3#2#Scanning Host#KR##37.5699996948,126.980003357#11
117.3.67.241#3#2#Scanning Host#VN#Hanoi#21.0333003998,105.849998474#11
104.168.144.109#3#2#Scanning Host#US#Tulsa#36.1553993225,-95.9938964844#11
184.162.93.161#3#2#Scanning Host#CA##43.6425018311,-79.3871994019#11
106.113.249.6#3#2#Scanning Host#CN#Hebei#39.8897018433,115.275001526#11
27.190.193.118#3#2#Scanning Host#CN#Hebei#39.8897018433,115.275001526#11
58.218.213.196#3#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
208.67.1.120#3#2#Scanning Host#US#Kansas City#39.1472015381,-94.5735015869#11
192.169.255.185#3#2#Scanning Host#US#Scottsdale#33.6119003296,-111.890602112#11
2.137.208.232#1#4#Malicious Host###33.6119003296,-111.890602112#3
37.216.216.50#4#2#Malicious Host#SA#Riyadh#24.6536998749,46.7151985168#3
104.160.167.82#4#2#Malicious Host#US#Los Angeles#34.0530014038,-118.264198303#3
46.160.127.142#4#2#Malicious Host#UA##50.4500007629,30.5233001709#3
104.223.72.204#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
198.7.63.221#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.97.229#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
107.151.223.166#4#3#Malicious Host#US#Cheyenne#41.3274002075,-104.666397095#3
198.55.114.162#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
122.114.88.57#4#2#Malicious Host#CN#Zhengzhou#34.6836013794,113.532501221#3
183.247.177.5#4#2#Malicious Host#CN#Hangzhou#30.2936000824,120.161399841#3
69.12.77.196#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
185.130.5.69#4#2#Malicious Host#LT##56.0,24.0#3
141.134.86.125#4#2#Malicious Host#BE#Lier#51.0999984741,4.59999990463#3
114.174.9.212#4#2#Malicious Host#JP##35.6899986267,139.690002441#3
202.4.186.8#4#4#Malicious Host#ID#Banda Aceh#5.55770015717,95.3221969604#3
162.213.152.154#4#3#Malicious Host#US#Miami#25.8337993622,-80.3016967773#3
192.96.206.209#4#3#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
183.204.254.43#4#3#Malicious Host#CN#Henan#27.8456001282,120.492797852#3
223.95.89.166#4#3#Malicious Host#CN##35.0,105.0#3
188.138.115.6#4#2#Malicious Host#DE##51.0,9.0#3
95.84.156.43#6#3#Spamming#RU##55.75,37.6166000366#12
66.190.2.170#3#2#Scanning Host#US#Antigo#45.1026992798,-89.1910018921#11
106.116.170.165#3#2#Scanning Host#CN#Hebei#39.8897018433,115.275001526#11
178.238.80.44#3#2#Scanning Host#GB##51.5,-0.129999995232#11
66.228.120.51#3#2#Scanning Host#US#Dallas#32.7831001282,-96.8067016602#11
23.96.185.60#3#2#Scanning Host#US#Chicago#41.8499984741,-87.6500015259#11
138.59.211.52#3#2#Scanning Host#BR##-23.547700882,-46.635799408#11
43.246.246.149#3#2#Scanning Host#IN##20.0,77.0#11
117.145.177.52#3#2#Scanning Host#CN##35.0,105.0#11
211.157.170.110#3#2#Scanning Host#CN#Beijing#39.9289016724,116.388298035#11
69.193.156.90#3#2#Scanning Host#US##38.0,-97.0#11
169.50.15.78#3#2#Scanning Host#US##38.0,-97.0#11
119.81.162.35#3#2#Scanning Host#HK#Hong Kong#22.2833003998,114.150001526#11
5.153.17.178#3#2#Scanning Host#NL#Amsterdam#52.3499984741,4.91669988632#11
221.203.142.131#3#2#Scanning Host#CN#Shenyang#41.7921981812,123.432800293#11
169.50.15.75#3#2#Scanning Host#US##38.0,-97.0#11
146.0.77.32#3#2#Scanning Host#NL##52.3666992188,4.90000009537#11
202.152.58.25#3#2#Scanning Host#ID#Jakarta#-6.17439985275,106.829399109#11
82.230.182.133#4#3#Malicious Host#FR#Paris#48.8655014038,2.34260010719#3
69.30.221.34#4#2#Malicious Host#US#Kansas City#39.1068000793,-94.5660018921#3
79.143.186.15#4#2#Malicious Host#DE##51.0,9.0#3
106.187.50.72#4#2#Malicious Host#JP##35.6899986267,139.690002441#3
192.96.206.30#4#3#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.75.163#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.75.24#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
198.7.63.72#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.75.44#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.75.115#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.96.152#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
218.244.254.49#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
207.244.68.208#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
180.97.215.158#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
209.126.110.242#4#2#Malicious Host#US#Saint Louis#38.6311988831,-90.192199707#3
207.244.68.67#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
207.244.75.207#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
192.96.206.82#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
111.20.241.254#4#4#Malicious Host#CN##35.0,105.0#3
115.159.186.134#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
218.93.206.27#4#3#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
93.170.168.139#10#2#Spamming#CZ##50.0833015442,14.4167003632#12
69.4.81.26#3#2#Scanning Host#US#Buffalo#42.8884010315,-78.8760986328#11
183.3.202.172#3#2#Scanning Host#CN#Guangzhou#23.1166992188,113.25#11
183.3.202.190#3#2#Scanning Host#CN#Guangzhou#23.1166992188,113.25#11
77.40.116.11#3#2#Scanning Host#RU#Ioshkar Ola#56.6369018555,47.8711013794#11
69.30.199.130#3#2#Scanning Host#US#Kansas City#39.1068000793,-94.5660018921#11
93.91.166.83#3#2#Scanning Host#RU##55.75,37.6166000366#11
104.238.135.209#3#2#Scanning Host#US#Piscataway#40.5516014099,-74.4636993408#11
